pr_id,ot_id,ot_name
E-12,ot_051,تدشين منصة موحدة ومتكاملة لتخطيط موارد المؤسسات (ERP)
E-13,ot_052,تدشين منصة موحدة لجميع عمليات الحرس الوطني (Non-ERP)
E-13,ot_053,أتمتة اكثر من 80% إجراءات الوزارة
E-14,ot_054,اطلاق استراتيجية الابتكارات الرقمية
E-14,ot_055,تفعيل وكالة الخدمات الرقمية والتقنية
E-15,ot_056,اعتماد وتعميم معايير موحدة لحوكمة وتصنيف البيانات
E-15,ot_057,تدشين منصة موحدة ومتكاملة تجمع البيانات
E-16,ot_058,إطلاق المنصة الموحدة لأنظمة التقنية العسكرية 
E-17,ot_059,رفع مستوى إلتزام وزارة الحرس الوطني مع ضوابط الهيئة الوطنية للأمن السيبراني بأكثر من 90%
E-18,ot_060,اعتماد وتعميم دليل وسياسات الأمن السيبراني
E-19,ot_061,إطلاق مركز العمليات السيبرانية الموحد لمراقبة جميع شبكات وزارة الحرس الوطني
E-20,ot_062,اعتماد أطر التواصل الخارجي
E-20,ot_063,إطلاق منصة التواصل الداخلي
E-21,ot_064,اعتماد خطة القوى العاملة
E-21,ot_065,اعتماد إطار لإدارة المواهب والأداء الوظيفي
E-21,ot_066,تفعيل المسارات الوظيفية
E-22,ot_067,تدريب أكثر من 5000 موظف من موظفي الوزارة على المهارات الفنية والقيادية والسلوكية
E-22,ot_068,تطوير عدد 300 قائد من قيادات الوزارة
E-23,ot_069,إطلاق خطط التمكين
E-23,ot_070,رفع مستوى تبني خطة التحول من قبل منسوبي الوزارة بنسبة 80%
E-23,ot_071,اشراك اكثر من 2000 موظف في التنفيذ من الوزارة في عملية التحول على أقل تقدير
E-24,ot_072, توطين القدرات المستقبلية في الخطة العشرية
E-24,ot_073,توطين خدمات الاستدامة (الصيانة وقطع الغيار) للمنظومات الرئيسية للوزارة
E-25,ot_074,اعتماد خطة تقليل وقت الإنتظار للحصول على مسكن
E-25,ot_075,تفعيل برامج الولاء
E-25,ot_076,اعتماد الإجراءات والسياسات المتعلقة بتوظيف المتقاعدين طبياً
E-25,ot_077,اعتماد خطط البرامج الثقافية والرياضية في الوزارة
HA-1,ot_078,إطلاق خدمة الرعاية العاجلة 
HA-1,ot_079,اكتمال ترميم مراكز الرعاية الأولية
HA-1,ot_080,تدشين 20 مركز رعاية أولية جديد
HA-2,ot_081,ربط جميع مستفيدي الحرس الوطني المسجلين بطبيب أسرة
HA-2,ot_082,الانتهاء من حملة فحص المستفيدين (Baseline)
HA-3,ot_083,تشغيل الأسرة المستهدفة في مستشفيات الحرس
HA-3,ot_084,تفعيل العيادات الافتراضية 
HA-4,ot_085,تفعيل قياس تجربة رحلة المرضى
HA-4,ot_086,تفعيل مسارات الرعاية الموحدة المحدثة للعشر أمراض الأكثر شيوعاً
HA-5,ot_087,قائمة الخدمات المساندة ذات الجدوى التم تم إسنادها للقطاع الخاص وغير الربحي
HA-5,ot_088,هيكلة التكاليف المالية للخدمات الصحية
HA-5,ot_089,تخفيض تكلفة الأدوية لكل مستفيد
HA-5,ot_090,إطلاق قائمة الخدمات المرتبطة بالأسعار
HA-6,ot_091,تفعيل الكيان القانوني الجديد 
HA-7,ot_092,فعيل مسار البحث في مجال الطب العسكري 
HA-7,ot_093,اعتماد قائمة المزايا التحفيزية للبحث والتعليم​ 
HA-8,ot_094,اعتماد سلم رواتب للشؤون الصحية 
HA-9,ot_095,اعتماد خطة معالجة الفجوات التدريبية 
HA-9,ot_096,تفعيل المسارات والخطط الوظيفية المطورة
HA-10,ot_097,انتقال الكادر التمريضي للمساكن المجددة
HA-10,ot_098,إطلاق برنامج تقدير الموظف
HA-11,ot_099,تدشين مركز  الأزمات والكوارث
HA-11,ot_100,نجاح جميع تجارب التعامل مع الكوارث المحتملة
